epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,18492.4,1.01131,2.06881,0.58163,1.07252,0.96327,0.95826,0.98139,0.73534,0.92526,0.9113,0.94365,0.53864,0.93529,1.92074,0.51012,1.06071,0.000126007,0.000126007,0.000126007
73,18734.4,1.00316,2.0613,0.57729,1.07288,0.9632,0.95727,0.98138,0.73554,0.92752,0.90758,0.94261,0.53919,0.93313,1.91781,0.5093,1.06075,0.000118422,0.000118422,0.000118422
74,18976.2,0.99674,2.04476,0.57295,1.06759,0.96036,0.95442,0.98046,0.73467,0.92581,0.90676,0.94112,0.5371,0.93148,1.92077,0.51082,1.06058,0.000111032,0.000111032,0.000111032
75,19220.8,0.99856,2.05609,0.57539,1.06981,0.9635,0.95647,0.9808,0.73495,0.92686,0.90872,0.94168,0.53765,0.93169,1.91784,0.51041,1.05982,0.000103843,0.000103843,0.000103843
76,19466.2,1.00067,2.06443,0.57786,1.06957,0.96299,0.95676,0.98132,0.73589,0.92502,0.91116,0.94254,0.53839,0.9313,1.91799,0.50952,1.05886,9.68638e-05,9.68638e-05,9.68638e-05
77,19710,0.99949,2.05476,0.57645,1.06948,0.96236,0.95617,0.98108,0.7357,0.92424,0.90906,0.9414,0.53916,0.93206,1.91859,0.50917,1.05968,9.01003e-05,9.01003e-05,9.01003e-05
78,19951.4,0.99276,2.04004,0.56972,1.06413,0.96275,0.95541,0.98077,0.73634,0.92387,0.90777,0.94131,0.54016,0.93026,1.91986,0.50527,1.05955,8.35594e-05,8.35594e-05,8.35594e-05
79,20193.6,0.9946,2.06176,0.5704,1.06553,0.96255,0.95586,0.98128,0.73711,0.92565,0.90651,0.94172,0.53971,0.92774,1.91855,0.50573,1.05814,7.72475e-05,7.72475e-05,7.72475e-05
80,20437.8,0.98601,2.03066,0.56514,1.06293,0.96434,0.95626,0.98167,0.73789,0.92561,0.90891,0.94195,0.54057,0.92789,1.91432,0.50433,1.05771,7.11708e-05,7.11708e-05,7.11708e-05
81,20681.7,0.99811,2.04458,0.57047,1.06854,0.96405,0.95653,0.98177,0.73837,0.92517,0.90976,0.94156,0.54233,0.92878,1.91167,0.50209,1.05799,6.53354e-05,6.53354e-05,6.53354e-05
82,20928.4,0.99366,2.04611,0.56892,1.06322,0.96291,0.95677,0.98159,0.7383,0.92409,0.90928,0.94198,0.54058,0.92931,1.91266,0.50342,1.05674,5.97469e-05,5.97469e-05,5.97469e-05
83,21175.1,0.98899,2.04734,0.56675,1.0644,0.96412,0.95658,0.98182,0.73905,0.92771,0.90927,0.94356,0.54176,0.92743,1.91032,0.50186,1.05643,5.4411e-05,5.4411e-05,5.4411e-05
84,21421.2,0.98796,2.03878,0.56435,1.06251,0.96329,0.9571,0.9817,0.73936,0.92653,0.9095,0.94304,0.54253,0.92752,1.91076,0.50351,1.05661,4.93329e-05,4.93329e-05,4.93329e-05
85,21664.6,0.987,2.03878,0.56452,1.06474,0.96235,0.95628,0.98132,0.73853,0.92462,0.90779,0.94236,0.54082,0.929,1.91305,0.50436,1.05711,4.45176e-05,4.45176e-05,4.45176e-05
86,21932,0.9853,2.0361,0.56391,1.06183,0.96283,0.95776,0.98155,0.7385,0.92403,0.90657,0.94141,0.53985,0.93022,1.91481,0.5049,1.05701,3.99699e-05,3.99699e-05,3.99699e-05
87,22199.2,0.9818,2.01563,0.55778,1.05989,0.96305,0.95687,0.98133,0.73828,0.92355,0.90705,0.94198,0.54107,0.9281,1.91401,0.5045,1.05637,3.56941e-05,3.56941e-05,3.56941e-05
88,22467.8,0.98847,2.03184,0.56517,1.0616,0.96444,0.95746,0.98158,0.73853,0.92579,0.9093,0.94298,0.54049,0.92942,1.91124,0.50274,1.05602,3.16947e-05,3.16947e-05,3.16947e-05
